Date,Price
08/11/2023,"1,946.90"
08/10/2023,"1,944.55"
08/09/2023,"1,950.60"
08/08/2023,"1,959.90"
08/07/2023,"1,970.00"
08/04/2023,"1,976.10"
08/03/2023,"1,968.80"
08/02/2023,"1,975.00"
08/01/2023,"1,978.80"
07/31/2023,"2,009.20"
07/28/2023,"1,999.90"
07/27/2023,"1,965.30"
07/26/2023,"1,989.70"
07/25/2023,"1,983.10"
07/24/2023,"1,981.60"
07/21/2023,"1,966.60"
07/20/2023,"1,970.90"
07/19/2023,"1,980.80"
07/18/2023,"1,980.80"
07/17/2023,"1,956.40"
07/14/2023,"1,964.40"
07/13/2023,"1,963.80"
07/12/2023,"1,961.70"
07/11/2023,"1,937.10"
07/10/2023,"1,931.00"
07/07/2023,"1,932.50"
07/06/2023,"1,915.40"
07/05/2023,"1,927.10"
07/04/2023,"1,933.95"
07/03/2023,"1,929.50"
06/30/2023,"1,929.40"
06/29/2023,"1,917.90"
06/28/2023,"1,913.40"
06/27/2023,"1,915.10"
06/26/2023,"1,925.10"
06/23/2023,"1,921.00"
06/22/2023,"1,915.00"
06/21/2023,"1,936.10"
06/20/2023,"1,938.90"
06/19/2023,"1,964.05"
06/18/2023,"1,969.45"
06/16/2023,"1,962.20"
06/15/2023,"1,961.80"
06/14/2023,"1,968.90"
06/13/2023,"1,958.60"
06/12/2023,"1,969.70"
06/09/2023,"1,977.20"
06/08/2023,"1,978.60"
06/07/2023,"1,958.40"
06/06/2023,"1,981.50"
06/05/2023,"1,974.30"
06/02/2023,"1,969.60"
06/01/2023,"1,995.50"
05/31/2023,"1,982.10"
05/30/2023,"1,977.10"
05/29/2023,"1,959.75"
05/28/2023,"1,961.50"
05/26/2023,"1,963.10"
05/25/2023,"1,943.10"
05/24/2023,"1,962.80"
05/23/2023,"1,972.40"
05/22/2023,"1,974.80"
05/19/2023,"1,978.70"
05/18/2023,"1,956.50"
05/17/2023,"1,980.70"
05/16/2023,"1,988.40"
05/15/2023,"2,018.00"
05/12/2023,"2,019.80"
05/11/2023,"2,020.50"
05/10/2023,"2,037.10"
05/09/2023,"2,042.90"
05/08/2023,"2,033.20"
05/05/2023,"2,024.80"
05/04/2023,"2,055.70"
05/03/2023,"2,037.00"
05/02/2023,"2,023.30"
05/01/2023,"1,992.20"
04/28/2023,"1,999.10"
04/27/2023,"1,999.00"
04/26/2023,"1,986.90"
04/25/2023,"1,995.10"
04/24/2023,"1,990.60"
04/21/2023,"1,981.30"
04/20/2023,"2,009.80"
04/19/2023,"1,998.00"
04/18/2023,"2,010.30"
04/17/2023,"1,994.20"
04/14/2023,"2,002.20"
04/13/2023,"2,041.30"
04/12/2023,"2,010.90"
04/11/2023,"2,004.80"
04/10/2023,"1,989.10"
04/06/2023,"2,011.90"
04/05/2023,"2,020.90"
04/04/2023,"2,022.20"
04/03/2023,"1,983.90"
03/31/2023,"1,969.00"
03/30/2023,"1,980.30"
03/29/2023,"1,966.90"
03/28/2023,"1,973.50"
03/27/2023,"1,971.50"
03/24/2023,"2,001.70"
03/23/2023,"2,013.30"
03/22/2023,"1,966.60"
03/21/2023,"1,958.30"
03/20/2023,"1,999.70"
03/17/2023,"1,990.20"
03/16/2023,"1,939.70"
03/15/2023,"1,948.10"
03/14/2023,"1,910.90"
03/13/2023,"1,916.50"
03/10/2023,"1,867.20"
03/09/2023,"1,834.60"
03/08/2023,"1,818.60"
03/07/2023,"1,820.00"
03/06/2023,"1,854.60"
