Date,Price
08/11/2023,918.9
08/10/2023,911.05
08/09/2023,892.7
08/08/2023,904.45
08/07/2023,926.9
08/06/2023,930.5
08/04/2023,928.5
08/03/2023,921.8
08/02/2023,930.4
08/01/2023,940.4
07/31/2023,958.6
07/30/2023,944.2
07/28/2023,943.7
07/27/2023,945
07/26/2023,972
07/25/2023,976.6
07/24/2023,969.5
07/23/2023,969.95
07/21/2023,972.2
07/20/2023,964.1
07/19/2023,984.8
07/18/2023,994.4
07/17/2023,987.5
07/16/2023,977.9
07/14/2023,984.3
07/13/2023,983.4
07/12/2023,956.6
07/11/2023,932.4
07/10/2023,934.8
07/09/2023,919.95
07/07/2023,918.5
07/06/2023,909.7
07/05/2023,925
07/04/2023,926.4
07/03/2023,916
07/02/2023,910
06/30/2023,913.2
06/29/2023,906.8
06/28/2023,924.7
06/27/2023,934
06/26/2023,932.9
06/25/2023,929.2
06/23/2023,923.7
06/22/2023,926.5
06/21/2023,949
06/20/2023,968
06/19/2023,979.9
06/18/2023,985.2
06/16/2023,987.3
06/15/2023,991.9
06/14/2023,980
06/13/2023,981.9
06/12/2023,995.3
06/11/2023,"1,011.75"
06/09/2023,"1,012.80"
06/08/2023,"1,013.90"
06/07/2023,"1,024.60"
06/06/2023,"1,038.70"
06/05/2023,"1,036.40"
06/04/2023,"1,009.25"
06/02/2023,"1,003.50"
06/01/2023,"1,010.10"
05/31/2023,999
05/30/2023,"1,021.90"
05/29/2023,"1,033.10"
05/28/2023,"1,027.75"
05/26/2023,"1,036.20"
05/25/2023,"1,034.40"
05/24/2023,"1,037.60"
05/23/2023,"1,065.70"
05/22/2023,"1,085.40"
05/21/2023,"1,074.10"
05/19/2023,"1,083.80"
05/18/2023,"1,066.30"
05/17/2023,"1,090.70"
05/16/2023,"1,075.00"
05/15/2023,"1,082.80"
05/14/2023,"1,063.80"
05/12/2023,"1,067.00"
05/11/2023,"1,105.00"
05/10/2023,"1,119.10"
05/09/2023,"1,116.00"
05/08/2023,"1,087.70"
05/07/2023,"1,066.80"
05/05/2023,"1,068.30"
05/04/2023,"1,053.55"
05/03/2023,"1,061.80"
05/02/2023,"1,078.30"
05/01/2023,"1,064.70"
04/30/2023,"1,081.45"
04/28/2023,"1,090.10"
04/27/2023,"1,093.20"
04/26/2023,"1,106.00"
04/25/2023,"1,098.20"
04/24/2023,"1,097.70"
04/23/2023,"1,135.25"
04/21/2023,"1,138.70"
04/20/2023,"1,107.60"
04/19/2023,"1,105.70"
04/18/2023,"1,097.30"
04/17/2023,"1,059.60"
04/16/2023,"1,053.90"
04/14/2023,"1,054.00"
04/13/2023,"1,065.50"
04/12/2023,"1,027.50"
04/11/2023,"1,005.10"
04/10/2023,"1,002.90"
04/09/2023,"1,016.75"
04/06/2023,"1,016.80"
04/05/2023,"1,007.40"
04/04/2023,"1,029.00"
04/03/2023,996.4
04/02/2023,992.4
03/31/2023,"1,003.10"
03/30/2023,"1,002.40"
03/29/2023,985.5
03/28/2023,971.9
