Date,Price
08/11/2023,22.808
08/10/2023,22.738
08/09/2023,22.731
08/08/2023,22.807
08/07/2023,23.232
08/04/2023,23.716
08/03/2023,23.697
08/02/2023,23.872
08/01/2023,24.326
07/31/2023,24.972
07/28/2023,24.495
07/27/2023,24.243
07/26/2023,24.841
07/25/2023,24.695
07/24/2023,24.451
07/21/2023,24.855
07/20/2023,24.992
07/19/2023,25.387
07/18/2023,25.256
07/17/2023,25.018
07/14/2023,25.194
07/13/2023,24.949
07/12/2023,24.31
07/11/2023,23.281
07/10/2023,23.345
07/07/2023,23.289
07/06/2023,22.89
07/05/2023,23.402
07/04/2023,23.168
07/03/2023,23.112
06/30/2023,22.81
06/29/2023,22.591
06/28/2023,22.868
06/27/2023,22.939
06/26/2023,22.805
06/23/2023,22.328
06/22/2023,22.436
06/21/2023,22.774
06/20/2023,23.193
06/19/2023,24.062
06/18/2023,24.198
06/16/2023,24.076
06/15/2023,23.891
06/14/2023,24.105
06/13/2023,23.822
06/12/2023,24.059
06/09/2023,24.41
06/08/2023,24.348
06/07/2023,23.529
06/06/2023,23.67
06/05/2023,23.635
06/02/2023,23.747
06/01/2023,23.987
05/31/2023,23.587
05/30/2023,23.239
05/29/2023,23.267
05/28/2023,23.413
05/26/2023,23.248
05/25/2023,22.803
05/24/2023,23.132
05/23/2023,23.509
05/22/2023,23.743
05/19/2023,23.948
05/18/2023,23.523
05/17/2023,23.789
05/16/2023,23.783
05/15/2023,24.175
05/12/2023,24.154
05/11/2023,24.424
05/10/2023,25.658
05/09/2023,25.898
05/08/2023,25.834
05/05/2023,25.93
05/04/2023,26.358
05/03/2023,25.681
05/02/2023,25.619
05/01/2023,25.23
04/28/2023,25.226
04/27/2023,25.209
04/26/2023,25.071
04/25/2023,25.088
04/24/2023,25.524
04/21/2023,25.28
04/20/2023,25.595
04/19/2023,25.59
04/18/2023,25.484
04/17/2023,25.088
04/14/2023,25.46
04/13/2023,25.925
04/12/2023,25.458
04/11/2023,25.186
04/10/2023,24.912
04/06/2023,25.093
04/05/2023,25.037
04/04/2023,25.101
04/03/2023,24.021
03/31/2023,24.156
03/30/2023,23.989
03/29/2023,23.391
03/28/2023,23.345
03/27/2023,23.075
03/24/2023,23.247
03/23/2023,23.144
03/22/2023,22.675
03/21/2023,22.324
03/20/2023,22.533
03/17/2023,22.351
03/16/2023,21.588
03/15/2023,21.774
03/14/2023,21.929
03/13/2023,21.793
03/10/2023,20.375
03/09/2023,20.025
03/08/2023,20.005
03/07/2023,20.054
03/06/2023,20.984
03/03/2023,21.238
03/02/2023,20.766
03/01/2023,20.959
02/28/2023,20.961
02/27/2023,20.67
02/24/2023,20.81
02/23/2023,21.306
02/22/2023,21.677
02/21/2023,21.89
02/20/2023,21.808
02/19/2023,21.598
02/17/2023,21.715
02/16/2023,21.71
02/15/2023,21.572
02/14/2023,21.873
02/13/2023,21.852
02/10/2023,22.075
02/09/2023,22.143
02/08/2023,22.42
02/07/2023,22.177
02/06/2023,22.237
02/03/2023,22.405
02/02/2023,23.615
02/01/2023,23.609
01/31/2023,23.836
01/30/2023,23.733
01/27/2023,23.534
01/26/2023,23.937
01/25/2023,23.846
01/24/2023,23.665
01/23/2023,23.481
01/20/2023,23.86
01/19/2023,23.791
01/18/2023,23.569
01/17/2023,23.978
01/16/2023,24.455
01/15/2023,24.415
01/13/2023,24.279
01/12/2023,23.914
01/11/2023,23.481
01/10/2023,23.665
01/09/2023,23.871
01/06/2023,23.982
01/05/2023,23.424
01/04/2023,23.964
01/03/2023,24.236
01/02/2023,24.328
12/30/2022,24.04
12/29/2022,24.25
12/28/2022,23.84
12/27/2022,24.217
12/26/2022,24.055
12/23/2022,23.92
12/22/2022,23.622
12/21/2022,24.194
12/20/2022,24.271
12/19/2022,23.199
12/16/2022,23.328
12/15/2022,23.305
12/14/2022,24.136
12/13/2022,23.99
12/12/2022,23.403
12/09/2022,23.717
12/08/2022,23.246
12/07/2022,22.922
12/06/2022,22.335
12/05/2022,22.417
12/02/2022,23.25
12/01/2022,22.841
11/30/2022,21.781
11/29/2022,21.436
11/28/2022,21.125
11/25/2022,21.609
11/24/2022,21.508
11/23/2022,21.526
11/22/2022,21.229
11/21/2022,20.872
11/18/2022,20.997
11/17/2022,20.975
11/16/2022,21.524
11/15/2022,21.518
11/14/2022,22.113
11/11/2022,21.667
11/10/2022,21.702
11/09/2022,21.327
11/08/2022,21.502
11/07/2022,20.919
11/06/2022,20.919
11/04/2022,20.784
11/03/2022,19.43
11/02/2022,19.594
11/01/2022,19.667
10/31/2022,19.119
10/28/2022,19.147
10/27/2022,19.494
10/26/2022,19.486
10/25/2022,19.349
10/24/2022,19.189
10/21/2022,19.066
10/20/2022,18.689
10/19/2022,18.359
10/18/2022,18.6
10/17/2022,18.719
10/14/2022,18.071
10/13/2022,18.918
10/12/2022,18.938
10/11/2022,19.487
10/10/2022,19.615
10/07/2022,20.255
10/06/2022,20.66
10/05/2022,20.544
10/04/2022,21.099
10/03/2022,20.589
09/30/2022,19.039
09/29/2022,18.712
09/28/2022,18.88
09/27/2022,18.337
09/26/2022,18.48
09/23/2022,18.91
09/22/2022,19.617
09/21/2022,19.48
09/20/2022,19.183
09/19/2022,19.358
09/16/2022,19.381
09/15/2022,19.269
09/14/2022,19.569
09/13/2022,19.491
09/12/2022,19.86
09/09/2022,18.767
09/08/2022,18.442
09/07/2022,18.26
09/05/2022,17.908
09/02/2022,17.881
09/01/2022,17.666
08/31/2022,17.882
08/30/2022,18.287
08/29/2022,18.557
08/26/2022,18.746
08/25/2022,19.12
08/24/2022,18.907
08/23/2022,19.026
08/22/2022,18.878
08/19/2022,19.069
08/18/2022,19.464
08/17/2022,19.731
08/16/2022,20.085
08/15/2022,20.272
08/12/2022,20.698
08/11/2022,20.349
08/10/2022,20.742
08/09/2022,20.482
08/08/2022,20.614
08/05/2022,19.842
08/04/2022,20.122
08/03/2022,19.894
08/02/2022,20.139
08/01/2022,20.362
07/29/2022,20.197
07/28/2022,19.868
07/27/2022,18.6
07/26/2022,18.535
07/25/2022,18.328
07/22/2022,18.617
07/21/2022,18.719
07/20/2022,18.668
07/19/2022,18.713
07/18/2022,18.84
07/15/2022,18.594
07/14/2022,18.225
07/13/2022,19.194
07/12/2022,18.958
07/11/2022,19.132
07/08/2022,19.236
07/07/2022,19.188
07/06/2022,19.159
07/04/2022,19.121
07/01/2022,19.667
06/30/2022,20.352
06/29/2022,20.738
06/28/2022,20.806
06/27/2022,21.168
06/24/2022,21.125
06/23/2022,21.042
06/22/2022,21.421
06/20/2022,21.768
06/17/2022,21.587
06/16/2022,21.885
06/15/2022,21.42
06/14/2022,20.954
06/13/2022,21.255
06/10/2022,21.931
06/09/2022,21.817
06/08/2022,22.094
06/07/2022,22.178
06/06/2022,22.092
06/03/2022,21.908
06/02/2022,22.275
06/01/2022,21.915
05/30/2022,21.688
05/27/2022,22.096
05/26/2022,21.965
05/25/2022,21.87
05/24/2022,22.063
05/23/2022,21.723
05/20/2022,21.674
05/19/2022,21.908
05/18/2022,21.544
05/17/2022,21.75
05/16/2022,21.551
05/13/2022,21.001
05/12/2022,20.773
05/11/2022,21.575
05/10/2022,21.424
05/09/2022,21.82
05/06/2022,22.367
