,Date,Price
0,2017-01-03,1162
1,2017-01-04,1165.3
2,2017-01-05,1181.3
3,2017-01-06,1173.4
4,2017-01-09,1184.9
5,2017-01-10,1185.5
6,2017-01-11,1196.6
7,2017-01-12,1199.8
8,2017-01-13,1196.2
9,2017-01-16,1212.9
10,2017-01-17,1214.3
11,2017-01-18,1212.1
12,2017-01-19,1201.5
13,2017-01-20,1204.9
14,2017-01-23,1215.6
15,2017-01-24,1210.8
16,2017-01-25,1197.8
17,2017-01-26,1189.8
18,2017-01-27,1191.1
19,2017-01-30,1196
20,2017-01-31,1211.4
21,2017-02-01,1208.3
22,2017-02-02,1219.4
23,2017-02-03,1220.8
24,2017-02-06,1232.1
25,2017-02-07,1236.1
26,2017-02-08,1239.5
27,2017-02-09,1236.8
28,2017-02-10,1235.9
29,2017-02-13,1225.8
30,2017-02-14,1225.4
31,2017-02-15,1233.1
32,2017-02-16,1241.6
33,2017-02-17,1239.1
34,2017-02-20,1238.9
35,2017-02-21,1238.9
36,2017-02-22,1233.3
37,2017-02-23,1251.4
38,2017-02-24,1258.3
39,2017-02-27,1258.8
40,2017-02-28,1253.9
41,2017-03-01,1250
42,2017-03-02,1232.9
43,2017-03-03,1226.5
44,2017-03-06,1225.5
45,2017-03-07,1216.1
46,2017-03-08,1209.4
47,2017-03-09,1203.2
48,2017-03-10,1201.4
49,2017-03-13,1203.1
50,2017-03-14,1202.6
51,2017-03-15,1200.7
52,2017-03-16,1227.1
53,2017-03-17,1230.2
54,2017-03-20,1234
55,2017-03-21,1246.5
56,2017-03-22,1249.7
57,2017-03-23,1247.2
58,2017-03-24,1248.5
59,2017-03-27,1255.7
60,2017-03-28,1255.6
61,2017-03-29,1253.7
62,2017-03-30,1248
63,2017-03-31,1251.2
64,2017-04-03,1254
65,2017-04-04,1258.4
66,2017-04-05,1248.5
67,2017-04-06,1253.3
68,2017-04-07,1257.3
69,2017-04-10,1253.9
70,2017-04-11,1274.2
71,2017-04-12,1278.1
72,2017-04-13,1288.5
73,2017-04-17,1291.9
74,2017-04-18,1294.1
75,2017-04-19,1283.4
76,2017-04-20,1283.8
77,2017-04-21,1289.1
78,2017-04-24,1277.5
79,2017-04-25,1267.2
80,2017-04-26,1264.2
81,2017-04-27,1265.9
82,2017-04-28,1268.3
83,2017-05-01,1255.5
84,2017-05-02,1257
85,2017-05-03,1248.5
86,2017-05-04,1228.6
87,2017-05-05,1226.9
88,2017-05-08,1227.1
89,2017-05-09,1216.1
90,2017-05-10,1218.9
91,2017-05-11,1224.2
92,2017-05-12,1227.7
93,2017-05-15,1230
94,2017-05-16,1236.4
95,2017-05-17,1258.7
96,2017-05-18,1252.8
97,2017-05-19,1253.6
98,2017-05-22,1261.4
99,2017-05-23,1255.5
100,2017-05-24,1253.1
101,2017-05-25,1256.4
