,Date,Price
0,2017-01-02,906.6
1,2017-01-03,930.2
2,2017-01-04,947.75
3,2017-01-05,974.1
4,2017-01-06,972.85
5,2017-01-08,973.2
6,2017-01-09,979.7
7,2017-01-10,979.3
8,2017-01-11,977.8
9,2017-01-12,980.8
10,2017-01-13,987.75
11,2017-01-15,989.5
12,2017-01-16,985.7
13,2017-01-17,981.7
14,2017-01-18,966.2
15,2017-01-19,960.7
16,2017-01-20,981.8
17,2017-01-22,985.65
18,2017-01-23,984.3
19,2017-01-24,997.2
20,2017-01-25,988.55
21,2017-01-26,980.5
22,2017-01-27,988.45
23,2017-01-29,989.5
24,2017-01-30,992.1
25,2017-01-31,999.25
26,2017-02-01,1003.65
27,2017-02-02,999.9
28,2017-02-03,1006.85
29,2017-02-05,1007.2
30,2017-02-06,1016.85
31,2017-02-07,1007.75
32,2017-02-08,1017.75
33,2017-02-09,1015.2
34,2017-02-10,1014.3
35,2017-02-12,1010.55
36,2017-02-13,1000.85
37,2017-02-14,1003.35
38,2017-02-15,1012.35
39,2017-02-16,1014.95
40,2017-02-17,1006.35
41,2017-02-19,1005.85
42,2017-02-20,1007
43,2017-02-21,1004.3
44,2017-02-22,1004.85
45,2017-02-23,1012.1
46,2017-02-24,1031.05
47,2017-02-26,1028.5
48,2017-02-27,1031.95
49,2017-02-28,1022.3
50,2017-03-01,1018.05
51,2017-03-02,993.95
52,2017-03-03,1000.6
53,2017-03-05,1001.75
54,2017-03-06,980.6
55,2017-03-07,963.8
56,2017-03-08,951.45
57,2017-03-09,936.5
58,2017-03-10,943.9
59,2017-03-12,943.95
60,2017-03-13,939.15
61,2017-03-14,939.1
62,2017-03-15,958.9
63,2017-03-16,958.65
64,2017-03-17,965.8
65,2017-03-19,966.65
66,2017-03-20,972.85
67,2017-03-21,972.6
68,2017-03-22,962.35
69,2017-03-23,962.95
70,2017-03-24,966.35
71,2017-03-26,973.6
72,2017-03-27,970.6
73,2017-03-28,956.75
74,2017-03-29,959.2
75,2017-03-30,952.2
76,2017-03-31,953.4
77,2017-04-02,956.95
78,2017-04-03,962.65
79,2017-04-04,963.1
80,2017-04-05,965.3
