,Date,Price
0,2017-01-03,16.41 
1,2017-01-04,16.55 
2,2017-01-05,16.64 
3,2017-01-06,16.52 
4,2017-01-09,16.68 
5,2017-01-10,16.85 
6,2017-01-11,16.83 
7,2017-01-12,16.83 
8,2017-01-13,16.77 
9,2017-01-16,17.15 
10,2017-01-17,17.15 
11,2017-01-18,17.27 
12,2017-01-19,17.00 
13,2017-01-20,17.03 
14,2017-01-23,17.19 
15,2017-01-24,17.19 
16,2017-01-25,16.98 
17,2017-01-26,16.85 
18,2017-01-27,17.14 
19,2017-01-30,17.15 
20,2017-01-31,17.54 
21,2017-02-01,17.45 
22,2017-02-02,17.43 
23,2017-02-03,17.48 
24,2017-02-06,17.69 
25,2017-02-07,17.76 
26,2017-02-08,17.71 
27,2017-02-09,17.74 
28,2017-02-10,17.93 
29,2017-02-13,17.82 
30,2017-02-14,17.89 
31,2017-02-15,17.96 
32,2017-02-16,18.07 
33,2017-02-17,18.03 
34,2017-02-20,18.00 
35,2017-02-21,18.04 
36,2017-02-22,17.95 
37,2017-02-23,18.12 
38,2017-02-24,18.41 
39,2017-02-27,18.42 
40,2017-02-28,18.47 
41,2017-03-01,18.49 
42,2017-03-02,17.75 
43,2017-03-03,17.74 
44,2017-03-06,17.77 
45,2017-03-07,17.54 
46,2017-03-08,17.30 
47,2017-03-09,17.04 
48,2017-03-10,16.92 
49,2017-03-13,16.97 
50,2017-03-14,16.92 
51,2017-03-15,16.92 
52,2017-03-16,17.33 
53,2017-03-17,17.41 
54,2017-03-20,17.44 
55,2017-03-21,17.58 
56,2017-03-22,17.58 
57,2017-03-23,17.59 
58,2017-03-24,17.75 
59,2017-03-27,18.11 
60,2017-03-28,18.25 
61,2017-03-29,18.25 
62,2017-03-30,18.21 
63,2017-03-31,18.26 
64,2017-04-03,18.21 
65,2017-04-04,18.32 
66,2017-04-05,18.19 
67,2017-04-06,18.25 
68,2017-04-07,18.15 
69,2017-04-10,17.92 
70,2017-04-11,18.25 
71,2017-04-12,18.30 
72,2017-04-13,18.51 
73,2017-04-17,18.51 
74,2017-04-18,18.27 
75,2017-04-19,18.16 
76,2017-04-20,18.02 
77,2017-04-21,17.86 
78,2017-04-24,17.86 
79,2017-04-25,17.59 
80,2017-04-26,17.36 
81,2017-04-27,17.33 
82,2017-04-28,17.26 
83,2017-05-01,16.84 
84,2017-05-02,16.83 
85,2017-05-03,16.55 
86,2017-05-04,16.30 
87,2017-05-05,16.27 
88,2017-05-08,16.26 
89,2017-05-09,16.07 
90,2017-05-10,16.21 
91,2017-05-11,16.27 
92,2017-05-12,16.40 
93,2017-05-15,16.60 
94,2017-05-16,16.75 
95,2017-05-17,16.91 
96,2017-05-18,16.67 
97,2017-05-19,16.80 
98,2017-05-22,17.19 
99,2017-05-23,17.14 
100,2017-05-24,17.12 
101,2017-05-25,17.19 
102,2017-05-26,17.32 
103,2017-05-29,17.43 
104,2017-05-30,17.46 
105,2017-05-31,17.41 
106,2017-06-01,17.28 
107,2017-06-02,17.53 
108,2017-06-05,17.58 
109,2017-06-06,17.71 
110,2017-06-07,17.62 
111,2017-06-08,17.41 
112,2017-06-09,17.22 
113,2017-06-12,16.94 
114,2017-06-13,16.77 
115,2017-06-14,17.14 
116,2017-06-15,16.72 
117,2017-06-16,16.66 
118,2017-06-19,16.50 
119,2017-06-20,16.42 
120,2017-06-21,16.37 
121,2017-06-22,16.51 
122,2017-06-23,16.65 
123,2017-06-26,16.57 
124,2017-06-27,16.59 
125,2017-06-28,16.73 
126,2017-06-29,16.65 
127,2017-06-30,16.63 
128,2017-07-03,16.09 
129,2017-07-04,15.90 
130,2017-07-05,15.90 
131,2017-07-06,15.98 
132,2017-07-07,15.43 
133,2017-07-10,15.63 
134,2017-07-11,15.75 
135,2017-07-12,15.89 
136,2017-07-13,15.69 
137,2017-07-14,15.93 
138,2017-07-17,16.10 
139,2017-07-18,16.27 
140,2017-07-19,16.30 
141,2017-07-20,16.35 
142,2017-07-21,16.46 
143,2017-07-24,16.44 
144,2017-07-25,16.54 
145,2017-07-26,16.46 
146,2017-07-27,16.57 
147,2017-07-28,16.70 
148,2017-07-31,16.79 
149,2017-08-01,16.76 
150,2017-08-02,16.73 
151,2017-08-03,16.63 
152,2017-08-04,16.25 
153,2017-08-07,16.25 
154,2017-08-08,16.39 
155,2017-08-09,16.86 
156,2017-08-10,17.07 
157,2017-08-11,17.07 
158,2017-08-14,17.12 
159,2017-08-15,16.71 
160,2017-08-16,16.94 
161,2017-08-17,17.05 
162,2017-08-18,17.00 
163,2017-08-21,17.02 
164,2017-08-22,16.98 
165,2017-08-23,17.05 
166,2017-08-24,16.96 
167,2017-08-25,17.05 
168,2017-08-28,17.44 
169,2017-08-29,17.43 
170,2017-08-30,17.50 
171,2017-08-31,17.58 
172,2017-09-01,17.82 
173,2017-09-04,17.94 
174,2017-09-05,17.91 
175,2017-09-06,17.91 
176,2017-09-07,18.12 
177,2017-09-08,18.12 
178,2017-09-11,17.90 
179,2017-09-12,17.89 
180,2017-09-13,17.87 
181,2017-09-14,17.79 
182,2017-09-15,17.70 
183,2017-09-18,17.16 
184,2017-09-19,17.28 
185,2017-09-20,17.33 
186,2017-09-21,17.02 
187,2017-09-22,16.98 
188,2017-09-25,17.15 
189,2017-09-26,16.88 
190,2017-09-27,16.83 
191,2017-09-28,16.85 
192,2017-09-29,16.68 
193,2017-10-02,16.65 
194,2017-10-03,16.65 
195,2017-10-04,16.62 
196,2017-10-05,16.64 
197,2017-10-06,16.79 
198,2017-10-09,16.97 
199,2017-10-10,17.21 
200,2017-10-11,17.13 
201,2017-10-12,17.27 
202,2017-10-13,17.41 
203,2017-10-16,17.37 
204,2017-10-17,17.04 
