ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-05,,1782.9,1784.676458495442,1782.6804266950855,1769.4557492339318,1771.4643801600998,1769.5565778387056,1782.693944671996,1772.2297608985452,1759.7433799439941,1842.5525357916977,1826.637864028322
2021-07-06,,1777.4,1775.725012885284,1777.4884572567628,1783.354126081065,1787.8300381849774,1783.134793817099,1777.4804619599797,1778.3458965999612,1758.754748539824,1837.3765288957181,1820.8516256780847
2021-07-07,,1783.4,1778.1399289683225,1783.3027397653857,1777.854068450746,1782.7193843522186,1777.9526059598481,1783.309307610864,1773.623683800805,1762.7981947537207,1832.5813490827527,1818.530538590333
2021-07-08,,1776.7,1783.944958092137,1776.8096427511477,1783.852086378351,1785.1028876650912,1783.760271076484,1776.8022136404763,1777.6119438836224,1754.56449663262,1827.284496821839,1812.2269952672882
2021-07-09,,1777.8,1784.0120399676284,1777.7819705158518,1777.1515039269289,1778.582704187612,1777.2711625421816,1777.7845452971153,1767.375272123152,1760.4215358947429,1824.4166358117254,1810.6383623218787
2021-07-12,,1780.7,1785.9016300620244,1780.6525039765813,1778.2519707230488,1779.3815185834435,1778.2416760722376,1780.6548640635147,1771.1164701841712,1761.1438088016914,1825.4226947314687,1813.2110850869406
2021-07-13,,1763.6,1770.1886124596394,1763.8833599432078,1781.1429887207191,1782.077233662466,1781.1022151955167,1763.8672229895376,1754.0752865488334,1744.0418672381209,1814.6222780764147,1799.9380453339036
2021-07-14,,1771.6,1776.370265701501,1771.4633282461389,1764.0449668507686,1765.4539531472321,1764.3503833008722,1771.4751633747812,1760.2623176258187,1749.1776723990654,1816.5198863193737,1804.7096439432141
2021-07-15,,1776.8,1780.5275478761919,1776.712027090941,1772.0470514177402,1772.844269376436,1771.9175889099831,1776.7147524305071,1767.0019052188304,1760.7662969019511,1815.0009077579489,1805.699741983742
2021-07-16,,1783.3,1785.8114259185152,1783.190900175002,1777.2514189284661,1777.9937866384864,1777.1708802778749,1783.1954473431801,1775.1893452835293,1770.5911366178482,1819.689394307301,1812.2903813504222
2021-07-19,,1794.2,1795.1254517505433,1794.0200835121166,1783.759949428688,1784.2295758530895,1783.6590644537955,1794.028314699196,1788.6431344720104,1784.5508672463081,1826.4420250601931,1822.9007521955039
2021-07-20,,1795.0,1795.7836979845852,1794.9868284565293,1794.662925287357,1794.8238128585,1794.4888086982744,1794.9848841393791,1790.1092725994627,1787.54978511626,1826.9953674568465,1824.4021371008262
2021-07-21,,1802.1,1801.8787463472,1801.9832596535346,1795.470601020421,1795.7030086783125,1795.465608924109,1801.9894807717476,1798.7534495464472,1795.6529228636061,1831.1302441544663,1830.5016009414207
2021-07-22,,1800.2,1800.307539635222,1800.2313338865722,1802.5712286706246,1802.5271685831965,1802.4607616806838,1800.2278762242838,1796.8030035296617,1795.3707152334991,1833.5435274538056,1832.5260362965232
2021-07-23,,1810.6,1809.3113829729991,1810.427691217621,1800.682306824382,1800.821776739623,1800.7229501289614,1810.4377214623112,1809.2631740306342,1807.9626549168518,1841.6234269317797,1842.6450585439113
2021-07-26,,1805.9,1805.4597080411045,1805.9787300124003,1811.0795828283992,1810.8082370542231,1810.9113630813688,1805.9717628428257,1804.0274854292159,1802.9841250754891,1848.608580938569,1848.094699284773
2021-07-27,,1809.9,1808.9058004927358,1809.8327093353087,1806.3842644737501,1806.4633359566412,1806.4736957683847,1809.8376038482686,1808.7044176857707,1807.7236537119672,1854.332127905989,1854.0564942426547
2021-07-28,,1825.0,1822.1851714425952,1824.749537749595,1810.399032021956,1810.235699968065,1810.3405868707814,1824.762467887812,1826.9262093975758,1827.7453325494616,1858.2042441692408,1861.7833466935106
2021-07-29,,1829.0,1826.0803782289465,1828.9346505487954,1825.5048699901884,1824.9974200835936,1825.263131839759,1828.9346876568675,1832.0634807717236,1832.7211497226767,1864.8900410069928,1868.3133423507288
2021-07-30,,1815.0,1814.1855688325259,1815.2317538808534,1829.4882501920508,1829.0408432435534,1829.4301713035936,1815.2181836229086,1815.5211334250866,1815.4170244961542,1867.8445560970401,1866.487741150737
2021-08-02,,1809.2,1809.1521444050134,1809.294110004218,1815.483090655397,1815.5171709076462,1815.7228830620825,1809.2922962880025,1811.874119036937,1807.6610042785164,1874.746627598614,1869.3062295603236
2021-08-03,,1811.4,1811.0560808898272,1811.3641988191735,1809.6827638387051,1809.7445515249563,1809.787530791976,1811.367553944527,1810.5398793316579,1810.5208697646435,1877.1810961805538,1871.4684318517498
2021-08-04,,1803.4,1804.1983452906109,1803.530730284668,1811.8741486016356,1811.862861922106,1811.8464611646182,1803.5231452241162,1801.0601346081914,1798.5707250870016,1876.692118529496,1868.1771130431578
2021-08-05,,1805.4,1805.7762054094947,1805.3672014805595,1803.8730673308742,1804.149871258203,1804.0151717384163,1805.3708937156841,1803.2529353690536,1802.151849396069,1875.5655862314723,1867.2692747049846
2021-08-06,,1801.8,1802.6674971299972,1801.8591370334193,1805.8672317873925,1805.9531712347557,1805.842522517041,1801.8554731964573,1799.1312251549055,1797.6372311726807,1876.0927934135204,1865.9860438293706
2021-08-09,,1799.2,1800.2859497074937,1799.24261352656,1802.2615273343831,1802.5240439798015,1802.3300546694288,1799.241157683005,1795.871136784312,1793.5801671601673,1875.7898563605502,1862.1582138502397
2021-08-10,,1799.8,1800.6877487061163,1799.7901627287988,1799.659045475296,1799.9140937055704,1799.7108012494964,1799.7913350806477,1796.57309247152,1795.8421030591453,1873.352637309276,1859.6314679445684
2021-08-11,,1799.7,1800.5126690971922,1799.7016395679989,1800.256297635496,1800.4684455717288,1800.2546748481702,1799.7014162151752,1796.5460405757594,1794.804883322443,1871.9420261618409,1857.6870605293643
