ds,Actual,ARIMA,ARIMA 2,ARIMA 3,ARIMA-GARCH,ARIMA-GARCH 2,ARIMA-GARCH 3,Simple Exponential Smoothing,Holt's Exponential Smoothing,Holt-Winter's Exponential Smoothing,Prophet,Prophet+ARIMA
2021-07-02,1087.7,1112.5417235448394,1114.7,1115.013614953768,1108.689976683165,1105.7015170842737,1106.023076154319,1114.6999998658896,1106.6001070134942,1106.4618334526083,1193.7524042750856,1141.4025664693293
2021-07-05,1101.9,1093.1933791008778,1099.2,1098.668587339337,1118.1107252333231,1114.6974285662814,1114.9939240987528,1099.200000230968,1094.5930796515295,1088.717388728779,1195.4091428521933,1133.299267599441
2021-07-06,1084.0,1055.1488252341865,1070.6,1069.5703011661576,1101.1312305867848,1099.1905790242,1098.6500053846457,1070.6000004261825,1053.306407111363,1055.919689383485,1198.0481511575551,1113.2989552528072
2021-07-07,1081.9,1056.3794147532965,1072.9,1072.981954487234,1070.403933533349,1070.589722455533,1069.6040511081762,1072.8999999656382,1056.7156628052307,1058.904260214689,1194.9049915141659,1116.1266088431255
2021-07-08,1074.5,1063.7658385472025,1080.9,1081.1856324637329,1070.8940213879948,1072.8907879356746,1072.96846273554,1080.8999998807683,1081.2173480899037,1067.9116679730505,1195.717516799244,1123.4467553744767
2021-07-09,1095.7,1074.6292632336365,1087.7,1087.9441850858825,1077.600123427238,1080.892090819296,1081.1677594084413,1087.699999898672,1076.484889263356,1076.7218906618868,1197.5406480116021,1129.6155286793958
2021-07-11,1096.0,1099.0795741807008,1101.9,1102.4152286992298,1084.8585969024805,1087.6973933632862,1087.9338313523358,1101.8999997884036,1094.0901114612955,1093.8497843200248,1200.4773334243343,1141.0622493634896
2021-07-12,1123.0,1084.0689966537714,1084.0,1083.3689227018135,1098.6189907852138,1101.8903000424887,1102.3719125284924,1084.0000002669462,1072.9276892256862,1073.340873988038,1203.5597623679369,1127.1337128813911
2021-07-13,1111.2,1087.9148548976923,1081.9,1081.8257429988137,1081.4204075942519,1083.9886707261526,1083.3755759989574,1081.9000000313347,1070.5301766285502,1071.292175916351,1201.8267669756901,1126.6907456886538
2021-07-14,1128.1,1085.9127030874,1074.5,1074.2378858254772,1080.1615397878184,1081.8845561707112,1081.811026472064,1074.500000110279,1062.344244731384,1062.7609072156365,1203.926915122433,1124.2451043313592
2021-07-15,1137.7,1109.9472459015146,1095.7,1096.4377117365,1074.6543488139164,1074.4976038873906,1074.247339428465,1095.6999996840907,1088.350469103777,1087.97034768484,1204.3136076254352,1140.0747485909662
